job_name,work_demand,company_locale,company_name,guimo,job_salary,job_salary<=15K,demand
数据分析师,"商业数据分析,SQL,excel",北京,搜狗公司,1000-9999人,22.5,FALSE,本科
数据分析师,"行业分析,SPSS,数据建模,MySQL,SQL",北京,随行付,500-999人,17.5,FALSE,本科
数据分析师,"SQL,Python",北京,汽车之家,1000-9999人,16,FALSE,本科
数据分析师,"游戏,用户研究,用户增长,数据分析",北京,北京红海科技,20-99人,30,FALSE,本科
数据分析师,"需求分析,R语言,SQL,Python,爬虫",北京,北京友邦佳通电子科技有限公司,100-299人,22.5,FALSE,本科
数据分析师,"R语言,MATLAB,MySQL",北京,北京智源人工智能研究院,100-299人,11.5,TRUE,本科
数据分析师,"行业分析,商业分析,数据采集,数据建模,需求分析",北京,北京高思博乐教育科技股份有限公司,1000-9999人,15,TRUE,本科
数据分析师,"数据分析,Python,SQL",北京,数盟网络,100-299人,17.5,FALSE,本科
数据分析师,"数据挖掘,数据采集,数据分析,大数据分析",北京,北京欧君科技有限责任公司,20-99人,12.5,TRUE,本科
数据分析师,"行业分析,数据建模,需求分析,SQL,商业分析",北京,歌德盈香股份有限公司,500-999人,16,FALSE,本科
数据分析师,数据分析,北京,北京国金汇德工程管理有限公司,100-299人,9,TRUE,本科
数据分析师,数据分析,北京,北京天马时空网络技术有限公司,500-999人,20,FALSE,学历不限
数据分析师,"Tableau,BI,SQL",北京,深圳市优阅达数据科技有限公司,100-299人,7,TRUE,本科
数据分析师,"数据分析,数据挖掘,Tableau,SPSS,SQL",北京,法本信息,1000-9999人,10,TRUE,本科
数据分析师,行业分析,北京,北京新阅时代科技有限公司,20-99人,22.5,FALSE,本科
数据分析师,"数据分析,SPSS,MySQL,SQL,BI",北京,头条易,100-299人,25,FALSE,本科
数据分析师,"电商,商业数据分析",北京,乐普医疗,1000-9999人,13.5,TRUE,本科
数据分析师,大数据分析,北京,北京鑫富通科技有限公司,20-99人,17.5,FALSE,本科
数据分析师,数据分析,北京,北京西潼科技有限公司,20-99人,17.5,FALSE,本科
数据分析师,"数据分析,数据仓库,Hadoop,SQL,Python",北京,北京理工新源信息科技有限公司,100-299人,12.5,TRUE,本科
数据分析师,"数据分析,SQL,Python",北京,国美金控投资有限公司北京分公司,300-499人,16,FALSE,本科
数据分析师,"数据分析,数据清洗,BI,SQL,ETL",北京,先进数通,1000-9999人,14.5,TRUE,本科
数据分析师,"SAS,Python,数据建模",北京,北京汉克时代科技有限公司,1000-9999人,8.5,TRUE,本科
数据分析师,数据分析,北京,北京百米互联科技有限公司,100-299人,12.5,TRUE,大专
数据分析师,"数据分析,Hive,SQL,Python",北京,北京微淼财商科技有限公司,1000-9999人,26.5,FALSE,本科
